N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"80,700",300,-0.37%,100,"4,817,615","5,969,783",53.55,"12,163,326",19.38,9.99,
2,SK하이닉스,"127,500","2,500",+2.00%,"5,000","928,203","728,002",49.57,"4,322,826",18.21,9.53,
3,카카오,"163,000","5,000",+3.16%,100,"723,605","443,930",32.30,"7,241,666",237.26,2.70,
4,NAVER,"417,500","6,000",+1.46%,100,"685,800","164,263",56.97,"947,743",4.25,15.22,
5,삼성전자우,"73,700",300,-0.41%,100,"606,467","822,887",76.12,"1,255,858",17.70,N/A,
6,LG화학,"850,000","11,000",+1.31%,"5,000","600,035","70,592",46.49,"308,193",37.00,2.93,
7,삼성바이오로직스,"841,000","5,000",-0.59%,"2,500","556,448","66,165",10.11,"50,919",209.73,N/A,
8,현대차,"239,500",0,0.00%,"5,000","511,735","213,668",29.74,"634,101",28.98,2.04,
9,삼성SDI,"698,000","12,000",+1.75%,"5,000","479,976","68,765",43.06,"338,376",68.37,4.54,
10,셀트리온,"268,500","3,500",+1.32%,"1,000","370,306","137,917",20.63,"375,956",61.60,16.68,
11,기아,"89,600",100,+0.11%,"5,000","363,206","405,363",33.66,"1,497,322",16.09,5.05,
12,POSCO,"348,000","1,000",+0.29%,"5,000","303,410","87,187",53.77,"330,996",13.60,3.61,
13,현대모비스,"292,000","2,500",+0.86%,"5,000","276,796","94,793",36.60,"303,739",15.58,4.66,
14,LG생활건강,"1,762,000","5,000",+0.28%,"5,000","275,193","15,618",46.45,"30,190",37.98,17.92,
15,SK이노베이션,"295,500","13,000",+4.60%,"5,000","273,236","92,466",23.68,"1,303,087",-27.94,-13.58,
16,LG전자,"163,500","2,500",+1.55%,"5,000","267,564","163,648",31.11,"1,108,040",15.23,13.23,
17,삼성물산,"136,500",500,-0.36%,100,"255,101","186,887",14.83,"319,413",16.26,3.81,
18,KB금융,"55,800",300,-0.53%,"5,000","232,021","415,808",68.91,"910,368",5.81,8.53,
19,SK텔레콤,"320,000","3,500",-1.08%,500,"230,592","72,060",45.76,"198,954",14.74,6.44,
20,신한지주,"40,600",300,-0.73%,"5,000","209,739","516,600",60.70,"1,354,890",5.70,8.20,
21,SK,"282,500","1,000",+0.36%,200,"198,768","70,360",20.32,"113,963",32.90,1.11,
22,엔씨소프트,"820,000","2,000",-0.24%,500,"180,023","21,954",51.85,"57,024",38.07,20.83,
23,LG,"102,500",500,+0.49%,"5,000","161,234","157,301",33.64,"303,149",9.41,7.50,
24,삼성생명,"79,800",200,-0.25%,500,"159,600","200,000",13.33,"188,689",7.51,3.53,
25,한국전력,"24,850",0,0.00%,"5,000","159,528","641,964",15.50,"1,682,167",7.77,2.91,
26,HMM,"43,900",300,+0.69%,"5,000","151,627","345,392",12.77,"4,628,397",41.61,8.93,
27,아모레퍼시픽,"252,000","3,500",-1.37%,500,"147,315","58,458",33.92,"232,115",176.35,0.78,
28,삼성에스디에스,"185,000",500,-0.27%,500,"143,149","77,378",11.91,"85,740",22.75,6.71,
29,하나금융지주,"46,050",450,-0.97%,"5,000","138,261","300,242",68.44,"804,893",4.91,8.96,
30,삼성전기,"177,000",500,+0.28%,"5,000","132,208","74,694",31.34,"242,064",19.48,10.92,
31,SK아이이테크놀로지,"183,000","10,000",+5.78%,"1,000","130,475","71,298",5.66,"1,161,188",N/A,11.00,
32,SK바이오사이언스,"158,500",500,+0.32%,500,"121,252","76,500",3.55,"529,314",123.15,13.25,
33,KT&G,"84,400",100,+0.12%,"5,000","115,875","137,292",37.97,"436,261",10.06,13.22,
34,S-Oil,"102,500",0,0.00%,"2,500","115,397","112,583",77.35,"266,386",27.85,-13.07,
35,넷마블,"134,000",500,+0.37%,100,"115,178","85,954",22.90,"302,022",36.45,6.35,
36,하이브,"292,500","3,500",+1.21%,500,"113,873","38,931",14.96,"996,881",104.06,12.52,
37,포스코케미칼,"144,000","1,000",-0.69%,500,"111,547","77,463",7.71,"228,503",173.08,2.96,
38,대한항공,"31,500",0,0.00%,"5,000","109,564","347,821",11.01,"1,224,199",13.47,-7.22,
39,삼성화재,"220,500",500,+0.23%,500,"104,462","47,375",48.14,"100,137",10.99,4.96,
40,두산중공업,"23,850",350,-1.45%,"5,000","100,762","422,483",6.84,"4,842,655",-13.40,-37.20,
41,SK바이오팜,"123,000","2,000",-1.60%,500,"96,325","78,313",7.24,"228,737",-178.52,-135.18,
42,한국조선해양,"134,000",500,-0.37%,"5,000","94,836","70,773",17.86,"167,850",-10.26,-7.42,
43,롯데케미칼,"262,500","7,000",-2.60%,"5,000","89,973","34,275",26.64,"259,015",12.12,1.22,
44,한온시스템,"16,550",100,-0.60%,100,"88,344","533,800",18.79,"935,006",65.42,5.09,
45,LG디스플레이,"24,500",500,+2.08%,"5,000","87,665","357,816",19.54,"3,705,156",25.95,-0.79,
46,한화솔루션,"44,550","1,300",-2.84%,"5,000","85,215","191,278",17.58,"2,878,654",11.94,5.30,
47,KT,"31,800",100,-0.31%,"5,000","83,034","261,112",44.09,"643,609",11.04,4.76,
48,우리금융지주,"11,450",150,-1.29%,"5,000","82,700","722,268",25.95,"2,015,352",5.68,5.87,
49,고려아연,"431,500","5,000",-1.15%,"5,000","81,424","18,870",21.42,"32,459",12.63,8.37,
50,현대글로비스,"209,000",500,+0.24%,500,"78,375","37,500",34.65,"128,340",13.62,12.45,
51,기업은행,"10,500",0,0.00%,"5,000","78,152","744,301",12.77,"843,490",5.14,6.44,
52,현대제철,"53,700",400,-0.74%,"5,000","71,660","133,446",19.90,"719,207",-68.41,-2.59,
53,CJ제일제당,"461,000","2,000",+0.44%,"5,000","69,400","15,054",25.29,"42,387",18.55,13.50,
54,LG유플러스,"15,350",100,+0.66%,"5,000","67,020","436,611",33.20,"1,160,904",12.93,6.46,
55,금호석유,"219,000",0,0.00%,"5,000","66,724","30,468",23.28,"216,440",7.88,20.18,
56,현대건설,"58,300",300,+0.52%,"5,000","64,920","111,356",21.46,"1,221,581",52.71,1.84,
57,한국타이어앤테크놀로지,"51,700","1,700",-3.18%,500,"64,043","123,875",42.09,"363,044",14.25,5.12,
58,SKC,"158,500",0,0.00%,"5,000","60,021","37,868",13.62,"309,403","-2,515.87",2.21,
59,미래에셋증권,"9,430",80,-0.84%,"5,000","59,910","635,316",14.49,"1,106,538",7.51,8.94,
60,코웨이,"78,700",900,-1.13%,500,"58,080","73,800",59.10,"168,671",13.54,31.51,
61,강원랜드,"26,900",150,-0.55%,500,"57,550","213,940",19.72,"491,643",-35.82,-7.92,
62,한국금융지주,"103,000",0,0.00%,"5,000","57,398","55,726",32.75,"220,872",4.60,16.27,
63,현대중공업지주,"70,800",100,-0.14%,"1,000","55,927","78,993",17.13,"126,050",-24.73,-8.12,
